lead_id,lead_created_date,source,product,segment,msisdn,country
LEADK4CIJ2V2,2025-08-13,CROSS_SELL,UPGRADE,LAPSED,726550845,GH
LEADC2V37PQK,2025-05-24,CROSS_SELL,UPGRADE,NEW,754023778,UG
LEAD0VAIY4VA,2025-07-09,CROSS_SELL,CASH_LOAN,NEW,790232106,KE
LEADGVWRDMLY,2025-06-19,WINBACK,PHONE+INSURANCE,LAPSED,721585546,ZM
LEADDJE153A5,2025-07-12,INBOUND,PHONE+INSURANCE,HIGH_VALUE,762005415,KE
LEADHT7PZE9V,2025-05-21,INBOUND,PHONE+INSURANCE,CHURN_RISK_30,732117961,ZM
LEADQE3RZSJ4,2025-05-29,CROSS_SELL,PHONE+INSURANCE,LAPSED,763380266,UG
LEADJ2O7S3KK,2025-05-23,WINBACK,INSURANCE_ONLY,CHURN_RISK_30,778777447,UG
LEADL1N759IN,2025-06-28,WINBACK,CASH_LOAN,HIGH_VALUE,755133300,ZM
LEAD2XF8E8LD,2025-08-07,FIELD,PHONE+INSURANCE,NEW,759096899,ZM
LEADQ8MYX444,2025-05-24,WINBACK,INSURANCE_ONLY,CHURN_RISK_30,751003997,UG
LEADCW790PDW,2025-08-02,WINBACK,INSURANCE_ONLY,NEW,713489853,KE
LEADMPIOYGGV,2025-06-21,INBOUND,INSURANCE_ONLY,NEW,751344226,KE
LEADJJA26YFP,2025-08-04,INBOUND,OTHER,HIGH_VALUE,746381032,ZM
LEADHNRIUU9K,2025-06-22,REFERRAL,INSURANCE_ONLY,HIGH_VALUE,788346110,ZM
LEAD0361I2HG,2025-07-31,WINBACK,CASH_LOAN,HIGH_VALUE,733638559,KE
LEADXLPU0DK0,2025-08-03,DIGITAL,INSURANCE_ONLY,CHURN_RISK_30,723574011,KE
LEADJ3R30ME8,2025-06-05,INBOUND,CASH_LOAN,HIGH_VALUE,718892086,GH
LEADN2ATQYYV,2025-07-25,REFERRAL,PHONE+INSURANCE,NEW,785704631,ZM
LEADHC36KOF8,2025-08-01,REFERRAL,PHONE+INSURANCE,CHURN_RISK_60,740851122,GH
LEADN8ZTV05X,2025-07-12,FIELD,PHONE+INSURANCE,HIGH_VALUE,765679047,ZM
LEADQIN9N6XC,2025-07-10,REFERRAL,INSURANCE_ONLY,CHURN_RISK_30,737028180,UG
LEADX8BM92H3,2025-08-05,INBOUND,INSURANCE_ONLY,NEW,774384510,UG
LEADA4FEJGXA,2025-07-30,DIGITAL,UPGRADE,NEW,701994519,UG
LEADEPECQNVQ,2025-05-21,REFERRAL,CASH_LOAN,LAPSED,729735904,GH
LEADXB94PDZP,2025-07-12,REFERRAL,PHONE+INSURANCE,CHURN_RISK_60,710843514,GH
LEAD9TQVDZ4X,2025-07-02,INBOUND,UPGRADE,NEW,773998961,GH
LEADO0LLJ8YR,2025-07-12,REFERRAL,PHONE+INSURANCE,HIGH_VALUE,712243983,GH
LEADC8UYO57P,2025-07-25,INBOUND,PHONE+INSURANCE,NEW,796779126,UG
LEADXID4N1U3,2025-06-03,DIGITAL,UPGRADE,CHURN_RISK_60,775291541,UG
LEAD73JGZLMA,2025-07-31,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_60,719226889,KE
LEAD0HPMNZ1U,2025-05-26,REFERRAL,CASH_LOAN,NEW,711402740,KE
LEADPPVOHSMD,2025-06-18,CROSS_SELL,CASH_LOAN,NEW,791028864,KE
LEADBH811KER,2025-07-30,CROSS_SELL,CASH_LOAN,CHURN_RISK_30,757801537,ZM
LEADO0PQCLPO,2025-05-24,REFERRAL,PHONE+INSURANCE,NEW,785918360,GH
LEAD7D4IVSOL,2025-08-11,WINBACK,PHONE+INSURANCE,CHURN_RISK_60,745568701,ZM
LEADM8XFDJGF,2025-06-28,FIELD,UPGRADE,CHURN_RISK_30,787980930,UG
LEAD7UWW5WFC,2025-08-10,DIGITAL,UPGRADE,CHURN_RISK_30,759352161,ZM
LEADQBNKX9DV,2025-06-23,CROSS_SELL,CASH_LOAN,LAPSED,751604364,KE
LEADXLRFCD6M,2025-07-27,WINBACK,PHONE+INSURANCE,HIGH_VALUE,795873810,ZM
LEADSFNKOMV2,2025-07-21,INBOUND,UPGRADE,CHURN_RISK_30,786879854,ZM
LEAD8VFCX7LX,2025-08-07,WINBACK,INSURANCE_ONLY,NEW,788870276,GH
LEAD23Y30YSX,2025-08-05,REFERRAL,PHONE+INSURANCE,LAPSED,756828640,ZM
LEADG9FK2ST0,2025-07-16,CROSS_SELL,CASH_LOAN,NEW,770669879,GH
LEADF313FPOY,2025-06-03,WINBACK,CASH_LOAN,HIGH_VALUE,731880763,ZM
LEADI826GYUP,2025-07-22,CROSS_SELL,PHONE+INSURANCE,NEW,737818761,UG
LEADEJX5TD44,2025-07-31,REFERRAL,PHONE+INSURANCE,CHURN_RISK_30,738260510,UG
LEAD8HQMABSI,2025-05-26,REFERRAL,INSURANCE_ONLY,HIGH_VALUE,710952896,ZM
LEADEK3ZEZQA,2025-06-02,DIGITAL,UPGRADE,HIGH_VALUE,741870192,GH
LEAD1IEIXWC4,2025-05-29,REFERRAL,UPGRADE,NEW,767085942,ZM
LEADPWIOXD9C,2025-06-21,DIGITAL,UPGRADE,NEW,770606503,UG
LEADW9JA2M0W,2025-05-20,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_60,778101741,ZM
LEADQZW3C1QK,2025-08-10,DIGITAL,PHONE+INSURANCE,NEW,705879578,UG
LEADRBXK5BXJ,2025-07-23,CROSS_SELL,PHONE+INSURANCE,LAPSED,749394697,ZM
LEADRR7S20CV,2025-06-07,INBOUND,PHONE+INSURANCE,HIGH_VALUE,724220459,GH
LEADVPYMB5M9,2025-07-11,DIGITAL,PHONE+INSURANCE,HIGH_VALUE,736850196,GH
LEADS0FB4YPE,2025-06-30,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_60,731674763,ZM
LEADQNPCENLK,2025-08-09,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_60,780967191,UG
LEADZHWY9HEC,2025-06-17,CROSS_SELL,PHONE+INSURANCE,HIGH_VALUE,723173544,GH
LEADMCT64Z7W,2025-08-08,REFERRAL,PHONE+INSURANCE,NEW,748518659,GH
LEADMUQ9E5CO,2025-05-18,CROSS_SELL,CASH_LOAN,HIGH_VALUE,796225198,ZM
LEAD9XQYM52X,2025-05-31,REFERRAL,UPGRADE,LAPSED,724422678,KE
LEADFFLZM764,2025-07-20,FIELD,PHONE+INSURANCE,CHURN_RISK_60,733635675,KE
LEADXVUGW6M7,2025-07-18,REFERRAL,PHONE+INSURANCE,CHURN_RISK_60,705529005,KE
LEADHUWB6TXK,2025-08-06,WINBACK,PHONE+INSURANCE,NEW,732866956,GH
LEADPRHVLZ04,2025-06-04,CROSS_SELL,UPGRADE,NEW,753514837,KE
LEADJIDKNWI5,2025-05-30,FIELD,CASH_LOAN,NEW,721434525,ZM
LEAD9Q5RDOQI,2025-07-17,REFERRAL,UPGRADE,LAPSED,778295121,UG
LEADT4P501NO,2025-06-20,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_30,776541906,ZM
LEADK9YE9O2M,2025-07-24,INBOUND,UPGRADE,CHURN_RISK_30,749070856,ZM
LEADELRQVSLW,2025-05-19,WINBACK,INSURANCE_ONLY,CHURN_RISK_60,721810655,KE
LEADURALDOL6,2025-08-13,WINBACK,PHONE+INSURANCE,HIGH_VALUE,792347655,ZM
LEADVGWW4FYB,2025-05-21,REFERRAL,PHONE+INSURANCE,NEW,794022325,UG
LEADSWQ40ZSU,2025-07-06,CROSS_SELL,OTHER,CHURN_RISK_30,788882576,UG
LEADM1ZXYVGI,2025-07-23,FIELD,OTHER,HIGH_VALUE,774905122,GH
LEADZLM72JEY,2025-08-11,CROSS_SELL,PHONE+INSURANCE,HIGH_VALUE,750961690,UG
LEADB8C7X0H3,2025-06-21,WINBACK,PHONE+INSURANCE,CHURN_RISK_60,736390817,UG
LEADB6IIDLRY,2025-06-15,FIELD,PHONE+INSURANCE,HIGH_VALUE,791028864,UG
LEADX1KKC1XI,2025-07-15,FIELD,INSURANCE_ONLY,NEW,799144826,ZM
LEAD9OR7875A,2025-05-19,FIELD,PHONE+INSURANCE,CHURN_RISK_30,776230551,UG
LEAD4QGEFQJG,2025-06-01,INBOUND,CASH_LOAN,NEW,798867180,ZM
LEADSDYGFLIJ,2025-07-08,INBOUND,PHONE+INSURANCE,CHURN_RISK_60,731611127,ZM
LEADXYCELOS6,2025-06-17,WINBACK,UPGRADE,LAPSED,794429826,KE
LEADH8RQ9NZ6,2025-08-01,DIGITAL,CASH_LOAN,HIGH_VALUE,772144402,GH
LEADQZCUCTSU,2025-07-21,DIGITAL,PHONE+INSURANCE,HIGH_VALUE,720112846,KE
LEAD6QCEOUUY,2025-05-26,CROSS_SELL,CASH_LOAN,HIGH_VALUE,741361818,ZM
LEADPZTC69QK,2025-05-20,WINBACK,OTHER,CHURN_RISK_60,724156684,KE
LEAD9N56NYXT,2025-07-01,REFERRAL,OTHER,CHURN_RISK_30,787715861,ZM
LEAD419QZPNI,2025-06-12,INBOUND,INSURANCE_ONLY,HIGH_VALUE,761824078,UG
LEAD3P15AHDB,2025-05-19,DIGITAL,PHONE+INSURANCE,NEW,780233330,KE
LEADT11F9I6U,2025-06-13,WINBACK,PHONE+INSURANCE,NEW,777507357,ZM
LEADSOJUV0GY,2025-08-07,FIELD,INSURANCE_ONLY,HIGH_VALUE,774605013,UG
LEADOFN1R4KZ,2025-08-12,CROSS_SELL,OTHER,CHURN_RISK_60,762146184,GH
LEADIHX74D0G,2025-07-03,WINBACK,PHONE+INSURANCE,NEW,736032304,UG
LEADH6K6HG00,2025-07-15,WINBACK,CASH_LOAN,CHURN_RISK_30,764279671,UG
LEADLKQXLM5Q,2025-07-24,DIGITAL,INSURANCE_ONLY,CHURN_RISK_30,796960708,UG
LEADUHFJ7UPF,2025-05-20,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_60,744273769,ZM
LEAD1R00Q0MF,2025-06-16,FIELD,UPGRADE,CHURN_RISK_60,773356206,GH
LEADB48Y1O4I,2025-07-21,INBOUND,UPGRADE,NEW,794914692,KE
LEADRATATJ9A,2025-08-07,DIGITAL,INSURANCE_ONLY,NEW,793665059,ZM
LEADFGS3JONO,2025-07-21,WINBACK,PHONE+INSURANCE,HIGH_VALUE,775833309,KE
LEAD9XBONRWZ,2025-08-06,CROSS_SELL,CASH_LOAN,CHURN_RISK_60,711097943,KE
LEAD7I6YUJ7Y,2025-07-21,CROSS_SELL,PHONE+INSURANCE,LAPSED,737631028,KE
LEAD8V1ZOCFI,2025-05-17,CROSS_SELL,PHONE+INSURANCE,HIGH_VALUE,752231715,GH
LEAD0MDICVWV,2025-07-18,DIGITAL,UPGRADE,NEW,711402740,KE
LEADGVN1KICJ,2025-07-09,WINBACK,CASH_LOAN,NEW,751002735,ZM
LEADALMJEGQT,2025-05-26,REFERRAL,UPGRADE,CHURN_RISK_60,754766762,KE
LEADAO20U9IS,2025-07-03,REFERRAL,PHONE+INSURANCE,CHURN_RISK_30,791981555,GH
LEADPPRCJIWV,2025-06-05,REFERRAL,PHONE+INSURANCE,CHURN_RISK_30,726246038,KE
LEADPP3XVKVZ,2025-06-26,FIELD,OTHER,NEW,764291599,ZM
LEAD2LK2N7H9,2025-07-27,CROSS_SELL,OTHER,CHURN_RISK_30,724149421,ZM
LEAD23C42YFK,2025-07-10,WINBACK,CASH_LOAN,NEW,733914361,UG
LEADOS7YT2M6,2025-07-28,FIELD,PHONE+INSURANCE,NEW,772062301,ZM
LEADXB9YO18P,2025-06-05,INBOUND,CASH_LOAN,CHURN_RISK_60,701415698,GH
LEADNQYYF9RK,2025-07-11,FIELD,PHONE+INSURANCE,NEW,711523236,UG
LEADSMDZQCBZ,2025-06-10,WINBACK,CASH_LOAN,NEW,703031322,ZM
LEADGFU8IOGX,2025-07-20,WINBACK,INSURANCE_ONLY,CHURN_RISK_30,758000104,UG
LEADAHKZ2U2T,2025-07-03,CROSS_SELL,PHONE+INSURANCE,LAPSED,749095909,ZM
LEADNOEMQGY2,2025-07-30,WINBACK,PHONE+INSURANCE,NEW,782474715,GH
LEADNFNVUPRT,2025-06-07,REFERRAL,PHONE+INSURANCE,NEW,786605343,KE
LEAD4W58RHNU,2025-06-24,WINBACK,PHONE+INSURANCE,HIGH_VALUE,787653539,UG
LEADCB1KJTGQ,2025-06-05,CROSS_SELL,UPGRADE,CHURN_RISK_60,799659112,ZM
LEAD3N3BZT9D,2025-07-23,INBOUND,OTHER,CHURN_RISK_30,787734330,GH
LEADP91I3VMZ,2025-05-26,WINBACK,CASH_LOAN,HIGH_VALUE,784929036,GH
LEADMKTLZKJ4,2025-07-26,REFERRAL,CASH_LOAN,CHURN_RISK_30,791174010,KE
LEAD5E5IZ31Y,2025-06-19,WINBACK,UPGRADE,CHURN_RISK_30,765694038,KE
LEAD21O0Z5QR,2025-08-04,WINBACK,UPGRADE,HIGH_VALUE,780967191,KE
LEAD2O83RLKT,2025-05-23,CROSS_SELL,PHONE+INSURANCE,HIGH_VALUE,717528063,GH
LEADD2QE4PA8,2025-05-20,FIELD,INSURANCE_ONLY,NEW,727154689,KE
LEADXJN6FOKZ,2025-05-26,REFERRAL,PHONE+INSURANCE,NEW,731426254,GH
LEADVSQAME4Y,2025-05-31,CROSS_SELL,CASH_LOAN,NEW,764115841,KE
LEAD5E11E9FT,2025-07-01,REFERRAL,PHONE+INSURANCE,NEW,701137460,GH
LEADWPH6FE0M,2025-07-06,REFERRAL,PHONE+INSURANCE,NEW,757631581,UG
LEADA45HVGOX,2025-08-11,REFERRAL,UPGRADE,CHURN_RISK_60,732123815,GH
LEAD7E4UNY18,2025-06-30,REFERRAL,PHONE+INSURANCE,LAPSED,798779073,KE
LEADKZ1POXTF,2025-07-18,CROSS_SELL,PHONE+INSURANCE,HIGH_VALUE,711220209,ZM
LEADV1XXLP8I,2025-07-04,CROSS_SELL,UPGRADE,CHURN_RISK_60,732813517,GH
LEAD00EZZF8S,2025-08-08,CROSS_SELL,CASH_LOAN,LAPSED,796739510,GH
LEADMPSJ9WRS,2025-05-18,CROSS_SELL,PHONE+INSURANCE,NEW,707440911,KE
LEADYE0A4ABN,2025-07-27,FIELD,PHONE+INSURANCE,HIGH_VALUE,720144023,KE
LEADLOZJCNS6,2025-06-12,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_30,724071191,ZM
LEAD1LDQNK20,2025-06-20,WINBACK,UPGRADE,HIGH_VALUE,732559072,ZM
LEAD1IAOIM45,2025-07-23,CROSS_SELL,CASH_LOAN,NEW,764115841,UG
LEAD9P89FKBI,2025-07-21,DIGITAL,UPGRADE,HIGH_VALUE,769760901,UG
LEADE3CUP8IJ,2025-07-18,CROSS_SELL,INSURANCE_ONLY,NEW,742279780,KE
LEADI7E1DDQL,2025-06-18,FIELD,PHONE+INSURANCE,NEW,716205010,ZM
LEADD3KZVH4F,2025-05-30,CROSS_SELL,UPGRADE,HIGH_VALUE,795449930,GH
LEADBOQ0IQ2F,2025-06-06,DIGITAL,PHONE+INSURANCE,NEW,701604831,GH
LEADY7DV7C9H,2025-07-01,REFERRAL,INSURANCE_ONLY,HIGH_VALUE,786702893,ZM
LEADBQGU3OBY,2025-05-30,FIELD,PHONE+INSURANCE,CHURN_RISK_30,723193791,GH
LEADWWXR5RDN,2025-05-19,DIGITAL,UPGRADE,CHURN_RISK_60,756268745,UG
LEAD2MTR6SNG,2025-07-02,REFERRAL,CASH_LOAN,NEW,742799022,KE
LEADMVIFIIT2,2025-07-21,FIELD,PHONE+INSURANCE,HIGH_VALUE,798926537,ZM
LEAD79GIL0MV,2025-06-29,FIELD,UPGRADE,CHURN_RISK_60,794415847,ZM
LEADTGBCVARL,2025-07-17,REFERRAL,CASH_LOAN,LAPSED,782427773,UG
LEADAV71448N,2025-05-22,REFERRAL,PHONE+INSURANCE,NEW,788870866,GH
LEAD28XG8Y72,2025-07-09,DIGITAL,PHONE+INSURANCE,HIGH_VALUE,729962391,UG
LEADGAZU41UG,2025-05-31,FIELD,PHONE+INSURANCE,CHURN_RISK_60,742710350,GH
LEADLCMLW83Y,2025-06-02,CROSS_SELL,PHONE+INSURANCE,NEW,797883102,ZM
LEADJDAN085R,2025-06-28,CROSS_SELL,CASH_LOAN,HIGH_VALUE,750829941,KE
LEADQ2BAJDM5,2025-06-04,CROSS_SELL,INSURANCE_ONLY,NEW,721596235,UG
LEADB7F6FDHG,2025-08-13,FIELD,UPGRADE,HIGH_VALUE,793576157,ZM
LEADDOTRBAD3,2025-06-14,INBOUND,PHONE+INSURANCE,NEW,783898287,GH
LEADRE2Q6JXN,2025-05-25,CROSS_SELL,PHONE+INSURANCE,NEW,749797531,GH
LEADIJC1YDMT,2025-06-17,REFERRAL,PHONE+INSURANCE,CHURN_RISK_30,779151743,ZM
LEAD5RC6ZS62,2025-07-27,REFERRAL,INSURANCE_ONLY,CHURN_RISK_30,790937192,ZM
LEAD3EP9P9W4,2025-06-11,WINBACK,CASH_LOAN,NEW,734612921,UG
LEADLJQ52WSP,2025-07-24,CROSS_SELL,UPGRADE,LAPSED,755625517,ZM
LEADUDKTMONR,2025-05-28,REFERRAL,PHONE+INSURANCE,CHURN_RISK_60,781733516,KE
LEADO5YBRJNM,2025-05-19,DIGITAL,INSURANCE_ONLY,HIGH_VALUE,740675347,ZM
LEADK01L0VDP,2025-06-01,WINBACK,INSURANCE_ONLY,HIGH_VALUE,754649480,UG
LEADLSE45BG3,2025-05-23,CROSS_SELL,INSURANCE_ONLY,HIGH_VALUE,707734634,UG
LEAD3SWEBNVG,2025-07-01,CROSS_SELL,PHONE+INSURANCE,LAPSED,763697356,GH
LEADAB42HHIH,2025-06-20,REFERRAL,CASH_LOAN,HIGH_VALUE,787454571,KE
LEAD6XVAJ2K8,2025-07-14,DIGITAL,INSURANCE_ONLY,CHURN_RISK_30,786267144,KE
LEADKSWVA984,2025-07-13,WINBACK,PHONE+INSURANCE,NEW,775357498,UG
LEAD9X5JZ6KF,2025-06-27,DIGITAL,CASH_LOAN,CHURN_RISK_60,732252798,KE
LEADFARK6O0U,2025-08-10,CROSS_SELL,CASH_LOAN,HIGH_VALUE,776778235,GH
LEADMKGXUKQ0,2025-08-08,WINBACK,PHONE+INSURANCE,HIGH_VALUE,797332902,ZM
LEADDM0L2LJK,2025-08-06,DIGITAL,UPGRADE,LAPSED,715808361,GH
LEAD6S5NKB4E,2025-07-14,FIELD,INSURANCE_ONLY,LAPSED,726883353,KE
LEAD5GCL9LCQ,2025-06-24,REFERRAL,CASH_LOAN,CHURN_RISK_30,728102825,UG
LEADWWO8NBHN,2025-05-31,WINBACK,UPGRADE,NEW,701889398,KE
LEAD0I5LDSLC,2025-08-03,INBOUND,CASH_LOAN,CHURN_RISK_60,706136213,KE
LEAD59M6MG87,2025-07-09,WINBACK,PHONE+INSURANCE,HIGH_VALUE,740851122,GH
LEADNXB5JTB9,2025-05-30,DIGITAL,PHONE+INSURANCE,NEW,788848098,UG
LEADEJZHYAPD,2025-07-02,WINBACK,PHONE+INSURANCE,HIGH_VALUE,769834723,ZM
LEADZEEDHHJS,2025-07-19,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_60,727068117,KE
LEAD7LAY64YF,2025-08-11,REFERRAL,CASH_LOAN,LAPSED,712090691,UG
LEAD9KQDGBK2,2025-07-12,REFERRAL,INSURANCE_ONLY,LAPSED,741970837,UG
LEADXGMPW5D3,2025-06-01,CROSS_SELL,UPGRADE,HIGH_VALUE,724544318,KE
LEADX2EZC7FO,2025-07-07,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_60,779289163,ZM
LEADBY49E7EO,2025-08-01,WINBACK,PHONE+INSURANCE,LAPSED,706170301,GH
LEAD5SYWP0RX,2025-08-08,DIGITAL,UPGRADE,LAPSED,786087848,UG
LEADXF445CRI,2025-05-16,INBOUND,UPGRADE,CHURN_RISK_30,737333618,KE
LEADQ2Q4QERX,2025-05-25,REFERRAL,UPGRADE,HIGH_VALUE,713776553,UG
LEADUXQM334L,2025-07-19,WINBACK,PHONE+INSURANCE,CHURN_RISK_30,783182506,GH
LEADHM38KSZB,2025-08-07,DIGITAL,CASH_LOAN,CHURN_RISK_30,722032560,KE
LEADHE4H3GM1,2025-08-01,DIGITAL,UPGRADE,HIGH_VALUE,706241172,GH
LEADX8ERTB74,2025-07-12,DIGITAL,INSURANCE_ONLY,HIGH_VALUE,764818030,ZM
LEADDXVL5PVY,2025-05-31,FIELD,OTHER,CHURN_RISK_30,733318046,UG
LEADOZ0KZ4Z7,2025-06-01,INBOUND,CASH_LOAN,HIGH_VALUE,784903891,UG
LEADX8SYLEMR,2025-08-13,WINBACK,CASH_LOAN,LAPSED,776589761,UG
LEAD3SAFYH1F,2025-07-08,REFERRAL,PHONE+INSURANCE,HIGH_VALUE,738468887,GH
LEADB3D5050U,2025-07-23,DIGITAL,CASH_LOAN,HIGH_VALUE,731889524,UG
LEADN89LTAJW,2025-07-02,FIELD,CASH_LOAN,CHURN_RISK_60,759467023,KE
LEADKGYGGSNP,2025-06-08,REFERRAL,INSURANCE_ONLY,NEW,774705402,UG
LEAD7B7V1W4K,2025-08-13,REFERRAL,CASH_LOAN,CHURN_RISK_30,776863404,ZM
LEADCSOTDHHL,2025-07-20,FIELD,UPGRADE,CHURN_RISK_30,748425464,UG
LEADYQ6WW8YL,2025-05-29,CROSS_SELL,PHONE+INSURANCE,LAPSED,715216804,KE
LEAD2QB6GS8G,2025-07-19,WINBACK,PHONE+INSURANCE,CHURN_RISK_60,772205759,GH
LEADPDTZ91X7,2025-08-10,CROSS_SELL,PHONE+INSURANCE,NEW,792079205,UG
LEAD2UUIJNWP,2025-06-06,REFERRAL,PHONE+INSURANCE,HIGH_VALUE,702267067,KE
LEADB4MSKYVK,2025-07-28,DIGITAL,PHONE+INSURANCE,NEW,758743898,KE
LEAD024KWK58,2025-06-01,FIELD,PHONE+INSURANCE,LAPSED,797888287,UG
LEADBUOTDH00,2025-05-30,WINBACK,UPGRADE,NEW,728418851,UG
LEAD4GG24479,2025-08-01,REFERRAL,CASH_LOAN,NEW,761909967,UG
LEADRLEXDW6L,2025-07-28,WINBACK,CASH_LOAN,NEW,760484679,UG
LEAD8GL2ZXJM,2025-06-24,DIGITAL,UPGRADE,CHURN_RISK_30,791211707,GH
LEADTGV44FTJ,2025-07-16,REFERRAL,PHONE+INSURANCE,CHURN_RISK_30,784103363,GH
LEADU1HBJ6TX,2025-07-28,INBOUND,CASH_LOAN,HIGH_VALUE,719949181,KE
LEADQSOSX43W,2025-06-01,REFERRAL,PHONE+INSURANCE,CHURN_RISK_60,722259144,GH
LEAD7B1IJIYS,2025-07-15,FIELD,INSURANCE_ONLY,NEW,748486337,UG
LEADZS34JTGX,2025-05-28,DIGITAL,PHONE+INSURANCE,NEW,749029303,GH
LEADO3M25A5P,2025-07-20,WINBACK,PHONE+INSURANCE,NEW,730868838,UG
LEADZEI3ZRRH,2025-07-31,CROSS_SELL,PHONE+INSURANCE,NEW,721642106,GH
LEADWBUCJG8V,2025-06-01,DIGITAL,CASH_LOAN,HIGH_VALUE,775645742,UG
LEADQ95G3V23,2025-06-11,CROSS_SELL,PHONE+INSURANCE,HIGH_VALUE,724412077,KE
LEADVINDH4SP,2025-07-30,REFERRAL,INSURANCE_ONLY,CHURN_RISK_60,720073763,ZM
LEADREV361XS,2025-05-26,WINBACK,PHONE+INSURANCE,LAPSED,749711219,KE
LEADM264UPJ1,2025-07-02,DIGITAL,PHONE+INSURANCE,NEW,711249805,ZM
LEADSSNH2ODP,2025-07-27,DIGITAL,PHONE+INSURANCE,CHURN_RISK_30,778567056,KE
LEADOHTUGUR9,2025-08-10,WINBACK,CASH_LOAN,LAPSED,777531025,GH
LEADQZFHOMTZ,2025-06-13,CROSS_SELL,UPGRADE,HIGH_VALUE,794863739,KE
